,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged,cash
2020-11-30,141.44,120.16248885366096,275.658332662034,255.4315914514281,447.70788274814777,268.7288680538745,311.04070502090593,329.2308610633362,309.9693981638898,185.29289666754184,109.42770839084316,301.6942050836593,44.30772874649013,118.8464040914313,367.5254407867084,66.62744482968051,187.12630378260152,146.39534942688334,191.38351713458528,174.5043677458173,99.40386365918447
2020-12-31,141.93,120.33092242148022,282.5367483390641,260.2444626656996,461.5986378905711,267.45916135121684,318.85086500634105,337.9538305691092,328.73852431145866,185.58467871774425,109.48619465898236,314.7674519534653,45.55298611598487,119.35938819448262,383.83175042340304,66.78519149461125,190.6536194064242,145.5227906279721,195.3692432582937,173.80044408967504,99.34173624439747
2021-01-31,141.48,120.42009313385516,279.67595320972947,259.57610352476166,462.7729971009158,269.6754221937745,331.3793277188146,354.46761830872487,317.38184291057456,184.40447234015147,109.40586292566384,307.7702033702877,47.55821652613184,117.61409784533912,396.23259168742914,67.21374361266092,189.79387962880529,146.47193490022366,191.75463445585825,172.47706103963807,99.27964765924473
2021-02-28,139.53,120.18230456752204,278.4347560639529,262.9813512462287,472.5949104965257,288.6953077081069,363.1016981943919,372.8596109347536,322.3189391363481,181.33536111124872,108.98960751642876,294.15249542582313,53.40356737589775,120.9255468306636,415.6072683671706,69.97819058024155,189.19113486495672,148.9694216430096,185.77205384675747,170.49010307219993,99.21759787945771
2021-03-31,140.22,120.40027741999404,297.1031666956385,279.18750722718056,502.6561133864065,309.855094560127,385.13340913207065,381.4886439911019,330.1394083645019,180.40611701995908,108.81772342449511,301.5435280429666,54.98135278775312,131.46483057954103,413.5712759449975,73.08080247296189,191.3529392943588,156.3564789958606,184.2832492508824,175.50729725576198,99.15558688078305
2021-04-30,140.0,120.35073813534132,300.58191053205064,282.83882599051793,506.7617689015692,311.8232933118044,384.6575160921527,376.0309530382078,333.3015980958857,180.71920064598268,108.87074832633948,301.4478333599419,57.22651350309634,131.32167488490973,409.159342225972,71.80493221643995,192.43352962268943,151.89104599368585,188.57717168738927,173.48570261391282,99.09361463898256
2021-05-31,139.65,120.34083027841076,310.96684063919,294.4699506974886,529.1693893516175,319.32889440792087,391.5490028026623,388.4240248092978,331.86671200272013,180.9749186329342,108.87134411175344,321.4196233671381,58.849975210414186,130.9853285182695,400.3358828345134,72.38927029503802,192.368233634354,150.46419489783776,190.2574400648904,173.4449660535734,99.03168112983319
2021-06-30,140.16,120.3705538492024,325.3409847325331,306.37276483017445,544.6090837973403,328.6585859286661,397.8996809696507,394.7743128741217,350.8738524311459,181.73810950991515,108.72031250930914,305.33888004056473,62.31332971754474,131.30604673598623,422.16519595961336,72.97724833282598,194.7762734518597,155.97873130947352,191.75339891018015,178.97570741172387,98.96978632912705
2021-07-31,141.7,120.6083424155355,330.24238852544505,311.03105322358533,557.1570567392205,332.63318079416723,392.9113972178809,366.4064429830275,354.1584495069704,183.8097125278035,109.014729801385,307.69188407258656,62.039600266550245,130.47513373579824,410.4779649908225,71.30661388518088,194.83845926785696,153.4633119352508,192.6826424063329,176.88570390454265,98.90793021267133
2021-08-31,141.36,120.55880313088278,338.07411992656694,319.3205714465925,571.0146794901293,351.6177570626554,415.0917357354659,387.89625952602427,350.88745324719486,183.2939171616393,108.88802610334494,311.5598308484781,61.835937162168186,134.03205036779977,424.2736639394459,72.14262396794693,195.8824321349635,156.45817368394418,194.27386323953635,180.85749053742072,98.84611275628842
2021-09-30,139.54,120.1723967105915,318.9295814059976,300.1097690455917,542.45731903732,337.4209604447164,402.6331464890562,373.0485370713153,349.9217953077184,181.3853950451544,108.56640127736392,307.12826254289587,66.27078089512955,134.73597162744562,422.778082951865,72.46414756282535,195.0146699483552,158.78027334353882,189.0072542453832,179.36367791279153,98.78433393581572
2021-10-31,138.45,119.48875458238382,330.98435095246776,311.7447832897074,553.9662233675394,350.59707463152364,410.1867894342975,370.5944821218584,337.10302618157084,180.78756384280427,107.985014010887,305.2619523547265,68.67085114375058,137.34086680397354,427.2923530433556,71.6275536563001,194.2664219590707,155.03095569139208,189.1709601834081,175.95451818920606,98.72259372710585
2021-11-30,140.41,120.13276528286931,329.2827131234074,311.2719627445415,535.663338088445,347.90269035058515,395.9496450838804,360.6953830351737,339.6667800068004,181.95261142458003,108.07378603757024,305.75188558820247,63.19275578964915,131.49992813860817,411.4221439660429,71.03828719841002,191.8537673615725,154.53089581521724,185.47178198786864,174.12071389156986,98.6608921060264
2021-12-31,139.34,119.82562171802238,348.60617058352165,328.2889400485667,564.045833141595,356.4056120480125,403.45570690476416,361.3944102523863,352.811968718123,180.9565893700183,107.83090418380375,312.70064026406817,66.74012151442842,138.0279962850681,406.4800372664321,71.02385067821189,196.0960463477717,156.4900171850647,189.3480904670572,176.11919914996068,98.59922904846013
