,WF_max_sharpe,WF_min_variance,WF_min_cvar,P0_AP5_benchmark_OOS,IS_max_sharpe_lookahead,IS_min_variance_lookahead,IS_min_cvar_lookahead
2022-04-07,100.32552780211643,96.80122755750799,97.00746217914875,96.7610519737365,101.0930211250023,98.04763187468075,98.42951801462121
2022-04-08,101.01525305663237,97.4139757354616,97.55761326560985,97.286627855661,101.81050496404882,98.62141868883508,98.9840178699712
2022-04-11,100.83060018288504,96.77068466698698,97.07592480358448,96.8416397737851,101.6465519709873,98.23670853753289,98.6913640395897
2022-04-12,100.57961232359804,96.35853203323892,96.71521755582133,96.49471457138826,101.38477047343828,97.86367014953788,98.34114843434395
2022-04-13,100.84323165604675,96.45898501002073,96.80293050784837,96.56870616134353,101.62885493893639,97.90394385072386,98.38288291230795
2022-04-14,101.45039664760628,97.13870238237273,97.35989561096288,97.06097574457203,102.2676309950596,98.46198141406593,98.90773233529039
2022-04-15,101.46378910345719,97.15206734756208,97.37326967588056,97.06091348369924,102.28135651329961,98.46483598622943,98.92145785353038
2022-04-18,101.52910134956356,97.16369209408072,97.38490233727475,97.06085122412355,102.3477221964296,98.45764446176337,98.92372830164359
2022-04-19,101.13734178822882,96.24214364276715,96.57227833482467,96.26376327757407,101.98748626144834,97.75902450220372,98.29625795621047
2022-04-20,101.56099935815392,97.12668263807238,97.38888768356414,97.07961414457026,102.40371247895337,98.51942126652646,99.01287421014129
2022-04-21,101.81878832263497,97.38409278294256,97.57249071305303,97.22080897409599,102.68932920301872,98.70391592017272,99.18103635311282
2022-04-22,101.03267279308706,96.58248727781172,96.78591008815015,96.43056444597526,101.91669659681872,97.95540825142429,98.43897124778785
2022-04-25,99.74014607461791,95.52767481820895,95.7786667954553,95.42353258117343,100.58199173567952,96.90406336576301,97.40629394292824
2022-04-26,99.58085969427776,95.65488463422786,95.84106883488342,95.49954418352364,100.40545848070437,96.89189988844089,97.33413154682664
2022-04-27,99.64322956780889,95.74178033271107,95.84784942622643,95.45696181061797,100.46854789981168,96.86949520660173,97.28665738269561
2022-04-28,100.21282261985694,95.82011797749115,96.02285597841104,95.67439736361398,101.05778049643781,97.119063397715,97.58428173254426
2022-04-29,100.53760601264364,96.15271669061926,96.29657151402404,95.90561030764093,101.42192654297718,97.43796749343454,97.89481154184432
2022-05-02,99.69969906747662,95.17290381336375,95.29944563432306,94.8656586954499,100.56485867896798,96.39310147163779,96.86450184044214
2022-05-03,99.77819216705984,95.54786272903061,95.66248037448818,95.23639736286299,100.61251267645459,96.669940736951,97.12690368932014
2022-05-04,99.67670096448263,95.448942166511,95.53532571375086,95.08441242205078,100.51860531231907,96.54478501091494,97.00544388109866
2022-05-05,100.2625997343625,95.88417691827523,95.95109648509734,95.48555119005556,101.14140760265788,96.97941436171081,97.44681741993689
2022-05-06,99.0491846334885,94.15601561820813,94.39533930534583,93.96414775217825,99.96210388326662,95.55645523117417,96.11512432236115
2022-05-09,97.69946509219945,93.32713757582827,93.49867024045942,93.04843531782116,98.62769179708923,94.64864535069042,95.16279427032748
2022-05-10,97.70811430525576,93.72336283266873,93.81996274371333,93.33456530596,98.59797739768669,94.84459290163673,95.32655740825892
2022-05-11,97.41553466680212,93.48228392842547,93.59710770639028,93.13797861599589,98.28904035496781,94.60443981331792,95.07107946335597
2022-05-12,97.0128694838864,93.66450740793786,93.57420602018229,93.05266721914134,97.84386753027006,94.43076099173537,94.78120858071182
2022-05-13,98.42978103287042,94.80960599362481,94.78001928513797,94.29862370375808,99.24240353497508,95.60681849106992,95.99071178251559
