,ICVT
2020-09-21,66.46031188964844
2020-09-22,66.24603271484375
2020-09-23,64.63069152832031
2020-09-24,64.25981140136719
2020-09-25,65.73502349853516
2020-09-28,66.76522827148438
2020-09-29,66.57569122314453
2020-09-30,66.55097961425781
2020-10-01,68.05294799804688
2020-10-02,67.13248443603516
2020-10-05,68.16349029541016
2020-10-06,67.56139373779297
2020-10-07,68.70789337158203
2020-10-08,68.90582275390625
2020-10-09,69.5739517211914
2020-10-12,69.82138061523438
2020-10-13,70.02759552001953
2020-10-14,69.97808074951172
2020-10-15,69.75540161132812
2020-10-16,69.6481704711914
2020-10-19,69.3512191772461
2020-10-20,69.28528594970703
2020-10-21,68.95535278320312
2020-10-22,69.3512191772461
2020-10-23,69.90387725830078
2020-10-26,68.73265838623047
2020-10-27,68.91410827636719
2020-10-28,67.64385223388672
2020-10-29,68.34497833251953
2020-10-30,66.76541137695312
2020-11-02,66.89337921142578
2020-11-03,68.4371337890625
2020-11-04,69.60115051269531
2020-11-05,71.84659576416016
2020-11-06,71.75582885742188
2020-11-09,71.1613998413086
2020-11-10,69.70845794677734
2020-11-11,70.84769439697266
2020-11-12,70.97978973388672
2020-11-13,71.34300994873047
2020-11-16,71.59894561767578
2020-11-17,72.26762390136719
2020-11-18,72.20986938476562
2020-11-19,73.85264587402344
2020-11-20,74.15812683105469
2020-11-23,75.41291046142578
2020-11-24,75.48723602294922
2020-11-25,76.23021697998047
2020-11-27,77.03594207763672
2020-11-30,76.41184997558594
2020-12-01,76.21772766113281
2020-12-02,76.72010803222656
2020-12-03,77.39276123046875
2020-12-04,78.23573303222656
2020-12-07,79.08726501464844
2020-12-08,79.85359191894531
2020-12-09,78.32940673828125
2020-12-10,79.61518096923828
2020-12-11,79.3086166381836
2020-12-14,80.05793762207031
2020-12-15,80.18566131591797
2020-12-16,80.3389663696289
2020-12-17,82.00113677978516
2020-12-18,82.03533172607422
2020-12-21,82.29159545898438
2020-12-22,82.74432373046875
2020-12-23,82.4624252319336
2020-12-24,82.5478744506836
2020-12-28,81.64241790771484
2020-12-29,81.5655288696289
2020-12-30,82.76992797851562
2020-12-31,82.4709701538086
2021-01-04,82.57349395751953
2021-01-05,83.55580139160156
2021-01-06,83.40201568603516
2021-01-07,85.8449935913086
2021-01-08,87.5277099609375
2021-01-11,86.20375061035156
2021-01-12,87.5106430053711
2021-01-13,87.5106430053711
2021-01-14,87.92066192626953
2021-01-15,86.69061279296875
2021-01-19,87.58750915527344
2021-01-20,88.2623291015625
2021-01-21,88.10855865478516
2021-01-22,88.46731567382812
2021-01-25,88.62104034423828
2021-01-26,87.4593734741211
2021-01-27,85.49476623535156
2021-01-28,86.81871795654297
2021-01-29,85.272705078125
2021-02-01,87.24535369873047
2021-02-02,89.0360107421875
2021-02-03,89.20693969726562
2021-02-04,90.34371185302734
2021-02-05,91.48902893066406
2021-02-08,92.50618743896484
2021-02-09,92.7027816772461
2021-02-10,92.45487976074219
2021-02-11,93.42073059082031
2021-02-12,94.08738708496094
2021-02-16,93.70279693603516
2021-02-17,93.16429138183594
2021-02-18,92.45487976074219
2021-02-19,93.66856384277344
2021-02-22,90.84801483154297
2021-02-23,90.26677703857422
2021-02-24,91.03604888916016
2021-02-25,87.96760559082031
2021-02-26,88.78813171386719
2021-03-01,90.91586303710938
2021-03-02,89.29956817626953
2021-03-03,87.18717193603516
2021-03-04,84.46768951416016
2021-03-05,84.8696517944336
2021-03-08,82.17577362060547
2021-03-09,85.51102447509766
2021-03-10,85.26301574707031
2021-03-11,87.80294036865234
2021-03-12,87.65757751464844
2021-03-15,88.29898071289062
2021-03-16,87.36685943603516
2021-03-17,87.64044952392578
2021-03-18,84.6045150756836
2021-03-19,85.39129638671875
2021-03-22,85.79322052001953
2021-03-23,84.262451171875
2021-03-24,81.94485473632812
2021-03-25,82.14155578613281
2021-03-26,82.18433380126953
2021-03-29,81.78238677978516
2021-03-30,82.43231964111328
2021-03-31,83.99735260009766
2021-04-01,85.21073150634766
2021-04-05,85.44175720214844
2021-04-06,86.43437957763672
2021-04-07,85.68986511230469
2021-04-08,86.67395782470703
2021-04-09,86.55419158935547
2021-04-12,86.25466918945312
2021-04-13,87.01627349853516
2021-04-14,86.64830017089844
2021-04-15,87.46122741699219
2021-04-16,86.66539001464844
2021-04-19,85.72418212890625
2021-04-20,84.63741302490234
2021-04-21,85.6471176147461
2021-04-22,85.6728286743164
2021-04-23,87.13605499267578
2021-04-26,88.41958618164062
2021-04-27,87.95748901367188
2021-04-28,87.70082092285156
2021-04-29,86.75096130371094
2021-04-30,86.10919952392578
2021-05-03,85.4490737915039
2021-05-04,84.07062530517578
2021-05-05,83.3257064819336
2021-05-06,82.51229095458984
2021-05-07,83.30000305175781
2021-05-10,81.69034576416016
2021-05-11,82.30680084228516
2021-05-12,80.18343353271484
2021-05-13,79.45563507080078
2021-05-14,81.21942901611328
2021-05-17,81.21087646484375
2021-05-18,81.35641479492188
2021-05-19,80.91975402832031
2021-05-20,81.99858856201172
2021-05-21,82.06707000732422
2021-05-24,83.0088882446289
2021-05-25,83.13734436035156
2021-05-26,84.1219482421875
2021-05-27,84.3531265258789
2021-05-28,84.21613311767578
2021-06-01,84.70791625976562
2021-06-02,84.95636749267578
2021-06-03,83.68836212158203
2021-06-04,84.32234954833984
2021-06-07,84.69935607910156
