,FLOT
2022-05-06,41.43295669555664
2022-05-09,41.3838005065918
2022-05-10,41.35102844238281
2022-05-11,41.359230041503906
2022-05-12,41.35102844238281
2022-05-13,41.36742401123047
2022-05-16,41.35102844238281
2022-05-17,41.33463668823242
2022-05-18,41.31824493408203
2022-05-19,41.31824493408203
2022-05-20,41.293643951416016
2022-05-23,41.35102844238281
2022-05-24,41.31824493408203
2022-05-25,41.31824493408203
2022-05-26,41.301876068115234
2022-05-27,41.27727508544922
2022-05-31,41.27727508544922
2022-06-01,41.2461051940918
2022-06-02,41.27892303466797
2022-06-03,41.26251220703125
2022-06-06,41.2461051940918
2022-06-07,41.25429916381836
2022-06-08,41.22970962524414
2022-06-09,41.2461051940918
2022-06-10,41.18049240112305
2022-06-13,40.950836181640625
2022-06-14,41.08206558227539
2022-06-15,40.893428802490234
2022-06-16,40.819610595703125
2022-06-17,41.04925537109375
2022-06-21,41.00825119018555
2022-06-22,41.04925537109375
2022-06-23,41.04925537109375
2022-06-24,41.12308120727539
2022-06-27,41.11488342285156
2022-06-28,41.10667037963867
2022-06-29,41.09027099609375
2022-06-30,40.94263458251953
2022-07-01,40.99107360839844
2022-07-05,40.966453552246094
2022-07-06,40.966453552246094
2022-07-07,40.97465896606445
2022-07-08,40.92540740966797
2022-07-11,41.015716552734375
2022-07-12,40.9336051940918
2022-07-13,41.05674743652344
2022-07-14,41.08959197998047
2022-07-15,41.122432708740234
2022-07-18,41.130653381347656
2022-07-19,41.15529251098633
2022-07-20,41.19632339477539
2022-07-21,41.15529251098633
2022-07-22,41.19632339477539
2022-07-25,41.10601806640625
2022-07-26,41.08138656616211
2022-07-27,41.15529251098633
2022-07-28,41.19632339477539
2022-07-29,41.212745666503906
2022-08-01,41.19464111328125
2022-08-02,41.211097717285156
2022-08-03,41.211097717285156
2022-08-04,41.243980407714844
2022-08-05,41.211097717285156
2022-08-08,41.252193450927734
2022-08-09,41.21930694580078
2022-08-10,41.41661071777344
2022-08-11,41.268638610839844
2022-08-12,41.3261833190918
2022-08-15,41.31796646118164
2022-08-16,41.27686309814453
2022-08-17,41.36729049682617
2022-08-18,41.36729049682617
2022-08-19,41.3261833190918
2022-08-22,41.33441162109375
2022-08-23,41.350852966308594
2022-08-24,41.350852966308594
2022-08-25,41.36729049682617
2022-08-26,41.3261833190918
2022-08-29,41.35908126831055
2022-08-30,41.36729049682617
2022-08-31,41.39194869995117
2022-09-01,41.415016174316406
2022-09-02,41.40678405761719
2022-09-06,41.45621109008789
2022-09-07,41.48917007446289
2022-09-08,41.48917007446289
2022-09-09,41.52213668823242
2022-09-12,41.513893127441406
2022-09-13,41.447994232177734
2022-09-14,41.48092269897461
2022-09-15,41.48092269897461
2022-09-16,41.4644660949707
2022-09-19,41.513893127441406
2022-09-20,41.49740982055664
2022-09-21,41.48917007446289
2022-09-22,41.563316345214844
2022-09-23,41.563316345214844
2022-09-26,41.52213668823242
2022-09-27,41.49740982055664
2022-09-28,41.447994232177734
2022-09-29,41.390316009521484
2022-09-30,41.415016174316406
2022-10-03,41.396018981933594
2022-10-04,41.45384216308594
2022-10-05,41.462093353271484
2022-10-06,41.44557571411133
2022-10-07,41.45384216308594
2022-10-10,41.44557571411133
2022-10-11,41.43732452392578
2022-10-12,41.36297607421875
2022-10-13,41.36297607421875
2022-10-14,41.31342697143555
2022-10-17,41.412540435791016
2022-10-18,41.38776397705078
2022-10-19,41.37125015258789
2022-10-20,41.49515151977539
2022-10-21,41.5529670715332
2022-10-24,41.49515151977539
2022-10-25,41.528167724609375
2022-10-26,41.4786262512207
2022-10-27,41.47035598754883
2022-10-28,41.50339126586914
2022-10-31,41.49515151977539
2022-11-01,41.5705451965332
2022-11-02,41.54570007324219
2022-11-03,41.504241943359375
2022-11-04,41.53739929199219
2022-11-07,41.51254653930664
2022-11-08,41.5788459777832
2022-11-09,41.5788459777832
2022-11-10,41.60369873046875
2022-11-11,41.66170120239258
2022-11-14,41.628578186035156
2022-11-15,41.628578186035156
2022-11-16,41.68657302856445
2022-11-17,41.68657302856445
2022-11-18,41.678287506103516
2022-11-21,41.66999816894531
2022-11-22,41.68657302856445
2022-11-23,41.703147888183594
2022-11-25,41.66170120239258
2022-11-28,41.703147888183594
2022-11-29,41.761173248291016
2022-11-30,41.78603744506836
2022-12-01,41.751075744628906
2022-12-02,41.751075744628906
2022-12-05,41.751075744628906
2022-12-06,41.767723083496094
2022-12-07,41.77604293823242
2022-12-08,41.767723083496094
2022-12-09,41.80101013183594
2022-12-12,41.80934143066406
2022-12-13,41.83430862426758
2022-12-14,41.84262466430664
2022-12-15,41.81840133666992
2022-12-16,41.87687683105469
2022-12-19,41.81840133666992
2022-12-20,41.86017608642578
2022-12-21,41.88522720336914
2022-12-22,41.88522720336914
2022-12-23,41.93534469604492
2022-12-27,41.95205307006836
2022-12-28,41.9269905090332
2022-12-29,41.99380874633789
2022-12-30,42.03557205200195
2023-01-03,42.05227279663086
2023-01-04,42.06060791015625
2023-01-05,42.09403610229492
2023-01-06,42.12744140625
2023-01-09,42.11074447631836
2023-01-10,42.11074447631836
2023-01-11,42.102386474609375
2023-01-12,42.09403610229492
2023-01-13,42.12744140625
2023-01-17,42.11074447631836
2023-01-18,42.1692008972168
2023-01-19,42.185890197753906
2023-01-20,42.210960388183594
2023-01-23,42.227657318115234
2023-01-24,42.227657318115234
2023-01-25,42.24435043334961
2023-01-26,42.25271987915039
2023-01-27,42.33622741699219
2023-01-30,42.30282974243164
