,DBMF
2024-04-12,26.15634536743164
2024-04-15,26.486982345581055
2024-04-16,26.4244327545166
2024-04-17,26.022302627563477
2024-04-18,26.11166000366211
2024-04-19,26.14740753173828
2024-04-22,26.12059783935547
2024-04-23,26.326135635375977
2024-04-24,26.344003677368164
2024-04-25,26.35293960571289
2024-04-26,26.996349334716797
2024-04-29,26.621030807495117
2024-04-30,26.746135711669922
2024-05-01,26.495922088623047
2024-05-02,25.97762107849121
2024-05-03,25.897192001342773
2024-05-06,26.058046340942383
2024-05-07,26.209964752197266
2024-05-08,26.317197799682617
2024-05-09,26.45124053955078
2024-05-10,26.433368682861328
2024-05-13,26.540603637695312
2024-05-14,26.478046417236328
2024-05-15,26.236772537231445
2024-05-16,26.308259963989258
2024-05-17,26.54953956604004
2024-05-20,26.719327926635742
2024-05-21,26.66571044921875
2024-05-22,26.531665802001953
2024-05-23,26.469114303588867
2024-05-24,26.522727966308594
2024-05-28,26.80868911743164
2024-05-29,26.72826385498047
2024-05-30,26.531665802001953
2024-05-31,26.486982345581055
2024-06-03,26.245708465576172
2024-06-04,25.81676483154297
2024-06-05,26.10272789001465
2024-06-06,26.165283203125
2024-06-07,26.379751205444336
2024-06-10,26.612092971801758
2024-06-11,26.540603637695312
2024-06-12,26.45124053955078
2024-06-13,26.27251625061035
2024-06-14,26.27251625061035
2024-06-17,26.522727966308594
2024-06-18,26.522727966308594
2024-06-20,26.85336685180664
2024-06-21,26.772945404052734
2024-06-24,26.88018035888672
2024-06-25,26.817625045776367
2024-06-26,26.969541549682617
2024-06-27,27.000181198120117
2024-06-28,27.090301513671875
2024-07-01,27.53189468383789
2024-07-02,27.4417781829834
2024-07-03,27.45078468322754
2024-07-05,27.41473960876465
2024-07-08,27.279558181762695
2024-07-09,27.396717071533203
2024-07-10,27.558931350708008
2024-07-11,27.180423736572266
2024-07-12,27.12635040283203
2024-07-15,27.144380569458008
2024-07-16,27.30659294128418
2024-07-17,26.82895278930664
2024-07-18,26.84697914123535
2024-07-19,26.738834381103516
2024-07-22,26.892038345336914
2024-07-23,26.66673469543457
2024-07-24,26.342302322387695
2024-07-25,26.180084228515625
2024-07-26,26.252180099487305
2024-07-29,26.171072006225586
2024-07-30,26.06292724609375
2024-07-31,26.080949783325195
2024-08-01,25.612321853637695
2024-08-02,24.76518440246582
2024-08-05,24.170391082763672
2024-08-06,24.233474731445312
2024-08-07,24.296558380126953
2024-08-08,24.602968215942383
2024-08-09,24.620996475219727
2024-08-12,24.756175994873047
2024-08-13,24.873332977294922
2024-08-14,24.891357421875
2024-08-15,25.152708053588867
2024-08-16,25.242828369140625
2024-08-19,25.323936462402344
2024-08-20,25.18875503540039
2024-08-21,25.170732498168945
2024-08-22,25.19776725769043
2024-08-23,25.161718368530273
2024-08-26,25.18875503540039
2024-08-27,25.13468360900879
2024-08-28,25.125669479370117
2024-08-29,25.206777572631836
2024-08-30,25.27887535095215
2024-09-03,25.098634719848633
