,GBP
2022-06-09,1.2247799634933472
2022-06-12,1.214400053024292
2022-06-13,1.210379958152771
2022-06-14,1.2005399465560913
2022-06-15,1.2106800079345703
2022-06-16,1.194200038909912
2022-06-19,1.1854699850082397
2022-06-20,1.184880018234253
2022-06-21,1.1848599910736084
2022-06-22,1.1781400442123413
2022-06-23,1.1785199642181396
2022-06-26,1.1756700277328491
2022-06-27,1.1729999780654907
2022-06-28,1.166100025177002
2022-06-29,1.1573200225830078
2022-06-30,1.1612900495529175
2022-07-03,1.1600500345230103
2022-07-04,1.1639100313186646
2022-07-05,1.157189965248108
2022-07-06,1.1566100120544434
2022-07-07,1.1711499691009521
2022-07-10,1.1747599840164185
2022-07-11,1.1694300174713135
2022-07-12,1.166059970855713
2022-07-13,1.1633399724960327
2022-07-14,1.163599967956543
2022-07-17,1.159600019454956
2022-07-18,1.1677199602127075
2022-07-19,1.1627399921417236
2022-07-20,1.1627999544143677
