,CSBGC0.SW
2023-11-23,95.70648956298828
2023-11-24,94.99828338623047
2023-11-27,96.1125259399414
2023-11-28,96.51856231689453
2023-11-29,96.92459869384766
2023-11-30,96.99540710449219
2023-12-01,97.69416809082031
2023-12-04,97.90191650390625
2023-12-05,98.39292907714844
2023-12-06,98.32682800292969
2023-12-07,98.38348388671875
2023-12-08,97.5430908203125
2023-12-11,98.07658386230469
2023-12-12,98.14741516113281
2023-12-13,98.84617614746094
2023-12-14,98.77063751220703
2023-12-15,99.80461883544922
2023-12-18,98.90283203125
2023-12-19,99.21915435791016
2023-12-20,98.61955261230469
2023-12-21,98.69981384277344
2023-12-22,98.85562896728516
2023-12-27,98.95948791503906
2023-12-28,98.97837829589844
2023-12-29,98.18519592285156
2024-01-03,98.39292907714844
2024-01-04,97.425048828125
2024-01-05,96.94818878173828
2024-01-08,97.25509643554688
2024-01-09,96.96235656738281
2024-01-10,96.68380737304688
2024-01-11,96.97651672363281
2024-01-12,96.74517822265625
2024-01-15,97.1465072631836
2024-01-16,97.26063537597656
2024-01-17,96.6138687133789
2024-01-18,97.011474609375
2024-01-19,96.81507110595703
2024-01-22,96.99710845947266
2024-01-23,96.74320983886719
2024-01-24,96.44141387939453
2024-01-25,97.43782043457031
2024-01-26,97.18871307373047
2024-01-29,97.39950561523438
2024-01-30,97.24141693115234
2024-01-31,97.82585906982422
2024-02-01,98.18993377685547
2024-02-02,97.68692779541016
2024-02-05,97.05460357666016
2024-02-06,96.88213348388672
2024-02-07,97.15998077392578
2024-02-08,96.88213348388672
2024-02-09,96.7767562866211
2024-02-12,96.53721618652344
2024-02-13,97.30369567871094
2024-02-14,96.7959213256836
2024-02-15,97.30369567871094
2024-02-16,97.15040588378906
2024-02-19,97.43782043457031
2024-02-20,97.62944793701172
2024-02-21,97.83543395996094
2024-02-22,97.9168701171875
2024-02-23,98.01268005371094
2024-02-26,97.82585906982422
2024-02-27,97.77794647216797
2024-02-28,97.47615051269531
2024-02-29,98.42466735839844
2024-03-01,98.76477813720703
2024-03-04,98.75041198730469
2024-03-05,99.19113159179688
2024-03-06,99.00909423828125
2024-03-07,99.33484649658203
2024-03-08,99.27737426757812
2024-03-11,99.29651641845703
2024-03-12,98.87495422363281
2024-03-13,99.20550537109375
2024-03-14,98.65939331054688
2024-03-15,98.39591979980469
2024-03-18,98.7408218383789
2024-03-19,98.86058807373047
2024-03-20,98.95159912109375
