,CHSRI.SW
2019-08-14,11.057201385498047
2019-08-15,11.011491775512695
2019-08-16,11.12830924987793
2019-08-19,11.2400484085083
2019-08-20,11.238354682922363
2019-08-21,11.334859848022461
2019-08-22,11.334859848022461
2019-08-23,11.348404884338379
2019-08-26,11.206188201904297
2019-08-27,11.255287170410156
2019-08-28,11.167248725891113
2019-08-29,11.192645072937012
2019-08-30,11.43136215209961
2019-09-02,11.441519737243652
2019-09-03,11.358560562133789
2019-09-04,11.455063819885254
2019-09-05,11.597794532775879
2019-09-06,11.625646591186523
2019-09-09,11.71789836883545
2019-09-10,11.700491905212402
2019-09-11,11.818855285644531
2019-09-12,11.838003158569336
2019-09-13,11.855408668518066
2019-09-16,11.77882194519043
2019-09-17,11.810152053833008
2019-09-18,11.836260795593262
2019-09-19,11.878036499023438
2019-09-20,11.844965934753418
2019-09-23,11.72834300994873
2019-09-24,11.72834300994873
2019-09-25,11.623905181884766
2019-09-26,11.72834300994873
2019-09-27,11.744009017944336
2019-09-30,11.766639709472656
2019-10-01,11.832779884338379
2019-10-02,11.477693557739258
2019-10-03,11.470730781555176
2019-10-04,11.545577049255371
2019-10-07,11.70223331451416
2019-10-08,11.51772689819336
2019-10-09,11.556020736694336
2019-10-10,11.559500694274902
2019-10-11,11.831038475036621
2019-10-14,11.780562400817871
2019-10-15,11.893702507019043
2019-10-16,11.90588665008545
2019-10-17,11.860630989074707
2019-10-18,11.8014497756958
2019-10-21,11.860630989074707
2019-10-22,11.90588665008545
2019-10-23,11.954625129699707
2019-10-24,12.01032543182373
2019-10-25,12.139131546020508
2019-10-28,12.173943519592285
2019-10-29,12.173943519592285
2019-10-30,12.139131546020508
2019-10-31,12.133910179138184
2019-11-01,12.165239334106445
2019-11-04,12.273158073425293
2019-11-05,12.273158073425293
2019-11-06,12.301009178161621
2019-11-07,12.32886028289795
2019-11-08,12.306233406066895
2019-11-11,12.276640892028809
2019-11-12,12.259233474731445
2019-11-13,12.243568420410156
2019-11-14,12.201793670654297
2019-11-15,12.262714385986328
2019-11-18,12.318415641784668
2019-11-19,12.361932754516602
2019-11-20,12.325377464294434
